episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_fdd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,execution_time,test,algorithm,cluster,replicas,config,acceptance_rate
1,54.29,0.0,100.0,0.0,91.0,9.0,0.0,0.0,480.03,20.32,10.99,0.65,0.06,DQN_c8_r4,DQN,8,4,c8_r4,1.0
2,58.38,0.0,100.0,0.0,98.0,2.0,0.0,0.0,441.0,18.25,13.94,0.55,0.05,DQN_c8_r4,DQN,8,4,c8_r4,1.0
3,63.0,0.0,100.0,0.0,99.0,1.0,0.0,0.0,443.51,7.34,11.61,0.56,0.08,DQN_c8_r4,DQN,8,4,c8_r4,1.0
4,59.55,0.01,99.0,1.0,98.0,1.0,0.0,0.0,422.3,4.3,14.94,0.71,0.05,DQN_c8_r4,DQN,8,4,c8_r4,0.99
5,51.21,0.01,99.0,1.0,92.0,7.0,0.0,0.0,517.79,9.21,12.42,0.8,0.06,DQN_c8_r4,DQN,8,4,c8_r4,0.99
6,59.8,0.0,100.0,0.0,98.0,2.0,0.0,0.0,433.61,9.71,13.05,0.69,0.06,DQN_c8_r4,DQN,8,4,c8_r4,1.0
7,48.86,0.01,99.0,1.0,93.0,6.0,0.0,0.0,467.1,18.91,15.39,0.79,0.06,DQN_c8_r4,DQN,8,4,c8_r4,0.99
8,52.69,0.0,100.0,0.0,99.0,1.0,0.0,0.0,429.44,29.34,10.85,0.42,0.05,DQN_c8_r4,DQN,8,4,c8_r4,1.0
9,59.02,0.0,100.0,0.0,100.0,0.0,0.0,0.0,408.88,10.08,13.99,0.66,0.05,DQN_c8_r4,DQN,8,4,c8_r4,1.0
10,61.14,0.0,100.0,0.0,100.0,0.0,0.0,0.0,475.86,2.26,14.62,0.66,0.05,DQN_c8_r4,DQN,8,4,c8_r4,1.0
11,54.83,0.0,100.0,0.0,99.0,1.0,0.0,0.0,465.91,13.4,13.24,0.73,0.06,DQN_c8_r4,DQN,8,4,c8_r4,1.0
12,57.82,0.0,100.0,0.0,95.0,5.0,0.0,0.0,470.96,5.21,11.08,0.73,0.06,DQN_c8_r4,DQN,8,4,c8_r4,1.0
13,63.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,461.72,6.22,12.97,0.55,0.05,DQN_c8_r4,DQN,8,4,c8_r4,1.0
14,63.86,0.0,100.0,0.0,99.0,1.0,0.0,0.0,438.33,4.82,14.37,0.57,0.05,DQN_c8_r4,DQN,8,4,c8_r4,1.0
15,62.66,0.0,100.0,0.0,100.0,0.0,0.0,0.0,397.35,3.44,15.19,0.68,0.05,DQN_c8_r4,DQN,8,4,c8_r4,1.0
16,61.06,0.0,100.0,0.0,100.0,0.0,0.0,0.0,433.91,16.7,12.51,0.52,0.05,DQN_c8_r4,DQN,8,4,c8_r4,1.0
17,63.57,0.0,100.0,0.0,99.0,1.0,0.0,0.0,466.29,3.02,12.98,0.6,0.05,DQN_c8_r4,DQN,8,4,c8_r4,1.0
18,51.33,0.01,99.0,1.0,87.0,12.0,0.0,0.0,498.18,8.38,11.58,0.81,0.06,DQN_c8_r4,DQN,8,4,c8_r4,0.99
19,59.29,0.0,100.0,0.0,99.0,1.0,0.0,0.0,436.89,13.78,14.65,0.61,0.06,DQN_c8_r4,DQN,8,4,c8_r4,1.0
20,63.17,0.0,100.0,0.0,100.0,0.0,0.0,0.0,452.59,4.42,13.88,0.6,0.05,DQN_c8_r4,DQN,8,4,c8_r4,1.0
21,53.93,0.01,99.0,1.0,92.0,7.0,0.0,0.0,483.81,10.04,13.74,0.69,0.06,DQN_c8_r4,DQN,8,4,c8_r4,0.99
22,63.0,0.0,100.0,0.0,99.0,1.0,0.0,0.0,443.51,7.34,11.61,0.56,0.05,DQN_c8_r4,DQN,8,4,c8_r4,1.0
23,45.48,0.02,98.0,2.0,91.0,7.0,0.0,0.0,549.87,18.67,13.81,0.75,0.06,DQN_c8_r4,DQN,8,4,c8_r4,0.98
24,59.05,0.0,100.0,0.0,99.0,1.0,0.0,0.0,458.6,16.68,13.85,0.55,0.05,DQN_c8_r4,DQN,8,4,c8_r4,1.0
25,30.01,0.19,81.0,19.0,43.0,38.0,0.0,0.0,435.77,13.91,14.32,0.53,0.07,DQN_c8_r4,DQN,8,4,c8_r4,0.81
26,46.4,0.08,92.0,8.0,60.0,32.0,0.0,0.0,400.72,4.3,9.16,0.76,0.07,DQN_c8_r4,DQN,8,4,c8_r4,0.92
27,59.96,0.01,99.0,1.0,94.0,5.0,0.0,0.0,479.14,6.14,13.38,0.6,0.06,DQN_c8_r4,DQN,8,4,c8_r4,0.99
28,60.15,0.01,99.0,1.0,95.0,4.0,0.0,0.0,463.94,5.6,16.19,0.63,0.06,DQN_c8_r4,DQN,8,4,c8_r4,0.99
29,54.2,0.0,100.0,0.0,100.0,0.0,0.0,0.0,448.81,9.6,16.57,0.79,0.05,DQN_c8_r4,DQN,8,4,c8_r4,1.0
30,60.18,0.0,100.0,0.0,100.0,0.0,0.0,0.0,456.65,8.0,12.39,0.63,0.05,DQN_c8_r4,DQN,8,4,c8_r4,1.0
1,54.0,0.0,100.0,0.0,91.0,9.0,0.0,0.0,476.76,20.32,15.48,0.66,0.06,DQN_c8_r6,DQN,8,6,c8_r6,1.0
2,62.09,0.0,100.0,0.0,96.0,4.0,0.0,0.0,411.67,19.38,19.01,0.47,0.06,DQN_c8_r6,DQN,8,6,c8_r6,1.0
3,20.84,0.2,80.0,20.0,10.0,70.0,0.0,0.0,468.28,19.28,13.27,0.75,0.1,DQN_c8_r6,DQN,8,6,c8_r6,0.8
