episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time
2,7.15,0.32,68.0,32.0,3.0,65.0,0.0,0.0,329.76,49.49,9.77,0.75,77.0,0.1
3,68.69,0.03,97.0,3.0,83.0,14.0,0.0,0.0,581.89,7.2,14.2,0.58,42.5,0.07
4,12.0,0.31,69.0,31.0,5.0,64.0,0.0,0.0,363.06,36.32,11.92,0.73,75.5,0.1
5,18.26,0.16,84.0,16.0,55.0,29.0,0.0,0.0,669.57,61.71,9.5,0.7,130.99,0.08
6,8.91,0.31,69.0,31.0,14.0,55.0,0.0,0.0,446.45,45.92,10.72,0.71,72.0,0.09
7,26.3,0.11,89.0,11.0,58.0,31.0,0.0,0.0,652.65,64.0,8.68,0.5,150.0,0.08
9,25.28,0.13,87.0,13.0,52.0,35.0,0.0,0.0,568.22,64.0,9.19,0.72,108.0,0.08
11,4.74,0.32,68.0,32.0,10.0,58.0,0.0,0.0,360.29,58.71,14.25,0.7,88.0,0.09
12,3.34,0.35,65.0,35.0,2.0,63.0,0.0,0.0,409.59,38.53,10.5,0.77,72.0,0.09
13,7.5,0.3,70.0,30.0,14.0,56.0,0.0,0.0,401.62,56.97,10.57,0.69,86.5,0.09
14,13.11,0.3,70.0,30.0,17.0,53.0,0.0,0.0,461.38,36.49,12.05,0.7,65.0,0.09
15,8.14,0.29,71.0,29.0,19.0,52.0,0.0,0.0,470.85,56.11,12.77,0.67,81.5,0.09
16,25.65,0.22,78.0,22.0,10.0,68.0,0.0,0.0,414.81,36.49,11.46,0.74,64.0,0.1
17,7.69,0.3,70.0,30.0,24.0,46.0,0.0,0.0,449.59,51.83,9.58,0.69,78.5,0.08
18,8.05,0.32,68.0,32.0,3.0,65.0,0.0,0.0,446.27,38.09,13.84,0.77,69.0,0.09
19,2.99,0.35,65.0,35.0,4.0,61.0,0.0,0.0,464.19,38.15,13.46,0.77,70.5,0.09
20,15.87,0.26,74.0,26.0,10.0,64.0,0.0,0.0,470.74,46.48,13.58,0.73,65.5,0.1
21,27.33,0.09,91.0,9.0,61.0,30.0,0.0,0.0,664.45,64.0,7.81,0.62,145.81,0.08
22,9.64,0.26,74.0,26.0,39.0,35.0,0.0,0.0,561.16,61.14,8.95,0.65,102.5,0.08
23,19.63,0.17,83.0,17.0,40.0,43.0,0.0,0.0,563.77,64.0,9.43,0.67,118.41,0.09
25,46.78,0.15,85.0,15.0,47.0,38.0,0.0,0.0,509.78,14.09,15.46,0.45,52.5,0.09
26,39.88,0.18,82.0,18.0,37.0,45.0,0.0,0.0,431.78,15.95,11.87,0.66,52.0,0.09
27,5.99,0.34,66.0,34.0,5.0,61.0,0.0,0.0,411.17,39.76,14.25,0.74,70.5,0.1
28,2.06,0.3,70.0,30.0,10.0,60.0,0.0,0.0,547.81,62.69,13.83,0.77,84.5,0.1
29,13.36,0.28,72.0,28.0,8.0,64.0,0.0,0.0,465.73,39.94,12.19,0.74,82.5,0.1
30,1.56,0.33,67.0,33.0,5.0,62.0,0.0,0.0,358.04,59.88,10.28,0.74,92.0,0.11

